Date : 2021-06-27 14:49:27
Directory : /Users/alexeimairyn/Desktop/MakeLite/lims-admin
Total : 338 files,  74955 codes, 637 comments, 3334 blanks, all 78926 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          9 |     28,535 |          0 |          5 |     28,540 |
| HTML             |          4 |     14,043 |          6 |        938 |     14,987 |
| JavaScript React |         72 |      8,902 |        158 |        761 |      9,821 |
| JavaScript       |        120 |      5,947 |        197 |        729 |      6,873 |
| SCSS             |         93 |      5,872 |        213 |        718 |      6,803 |
| CSS              |          8 |      5,624 |         18 |         20 |      5,662 |
| XML              |         14 |      3,708 |          1 |          2 |      3,711 |
| Less             |         14 |      1,758 |         44 |         48 |      1,850 |
| Markdown         |          3 |        562 |          0 |        112 |        674 |
| YAML             |          1 |          4 |          0 |          1 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        338 |     74,955 |        637 |      3,334 |     78,926 |
| public                                                                                                                       |         57 |     55,355 |        113 |      1,085 |     56,553 |
| public/resources                                                                                                             |         54 |     55,302 |        113 |      1,082 |     56,497 |
| public/resources/fonts                                                                                                       |         50 |     55,251 |        112 |      1,081 |     56,444 |
| public/resources/fonts/font-awesome                                                                                          |         31 |      8,515 |        101 |         99 |      8,715 |
| public/resources/fonts/font-awesome/css                                                                                      |          2 |      2,328 |         13 |          2 |      2,343 |
| public/resources/fonts/font-awesome/fonts                                                                                    |          1 |      2,671 |          0 |          1 |      2,672 |
| public/resources/fonts/font-awesome/less                                                                                     |         14 |      1,758 |         44 |         48 |      1,850 |
| public/resources/fonts/font-awesome/scss                                                                                     |         14 |      1,758 |         44 |         48 |      1,850 |
| public/resources/fonts/font-feathericons                                                                                     |          7 |     12,267 |          4 |        292 |     12,563 |
| public/resources/fonts/font-feathericons/demo                                                                                |          3 |      4,203 |          2 |        274 |      4,479 |
| public/resources/fonts/font-feathericons/dist                                                                                |          2 |      1,094 |          2 |          4 |      1,100 |
| public/resources/fonts/font-feathericons/dist/fonts                                                                          |          1 |        276 |          0 |          0 |        276 |
| public/resources/fonts/font-icomoon                                                                                          |          6 |     24,458 |          4 |        507 |     24,969 |
| public/resources/fonts/font-icomoon/demo-files                                                                               |          2 |        178 |          0 |          8 |        186 |
| public/resources/fonts/font-icomoon/fonts                                                                                    |          1 |        501 |          0 |          0 |        501 |
| public/resources/fonts/font-linearicons                                                                                      |          6 |     10,011 |          3 |        183 |     10,197 |
| public/resources/fonts/font-linearicons/demo-files                                                                           |          2 |        177 |          0 |          7 |        184 |
| public/resources/fonts/font-linearicons/fonts                                                                                |          1 |        199 |          0 |          0 |        199 |
| public/resources/images                                                                                                      |          4 |         51 |          1 |          1 |         53 |
| public/resources/images/icons                                                                                                |          1 |         46 |          1 |          1 |         48 |
| src                                                                                                                          |        271 |     18,866 |        523 |      2,142 |     21,531 |
| src/assets                                                                                                                   |         33 |      1,652 |        127 |        253 |      2,032 |
